code_rome,libelle
H3301,Conducteur / Conductrice de ligne de conditionnement
H3302,Agent / Agente de conditionnement
I1503,Technicien / Technicienne en risques technologiques
I1601,Préparateur / Préparatrice de bateau
I1602,Mécanicien / Mécanicienne aéronautique
I1603,Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
I1604,Mécanicien / Mécanicienne automobile
I1605,Mécanicien / Mécanicienne en mécanique marine/navale
I1307,Installateur / Installatrice fibre optique
I1606,Carrossier-peintre / Carrossière-peintre
I1607,Mécanicien / Mécanicienne motocycles
H3402,Agent / Agente de traitement de surface
H3403,Opérateur / Opératrice de traitement thermique
H3404,Peintre industriel / Peintre industrielle
I1101,Directeur / Directrice des travaux bâtiment
I1102,Ingénieur / Ingénieure de maintenance industrielle
I1103,Chef d'atelier automobile
H2902,Chaudronnier / Chaudronnière
H2903,Tourneur-fraiseur / Tourneuse-fraiseuse
H2904,Forgeron industriel / Forgeronne industrielle
H2905,Cisailleur / Cisailleuse en métallurgie
H2906,Opérateur / Opératrice en fabrication mécanique
H2907,Fondeur / Fondeuse en métallurgie
H2908,Modeleur / Modeleuse
H2909,Assembleur monteur / Assembleuse monteuse
H2910,Mouleur noyauteur / Mouleuse noyauteuse
I1301,Ascensoriste
I1302,Technicien / Technicienne de maintenance d'installations automatisées
I1303,Technicien / Technicienne de maintenance de distributeurs automatiques
I1304,Technicien / Technicienne de maintenance industrielle
I1305,Électronicien / Électronicienne de maintenance
I1306,Frigoriste
I1502,Scaphandrier / Scaphandrière
I1308,Technicien / Technicienne chauffagiste
J1303,Assistant médical / Assistante médicale
J1304,Auxiliaire de puériculture
J1305,Ambulancier / Ambulancière
J1306,Manipulateur / Manipulatrice en radiologie
J1307,Préparateur / Préparatrice en pharmacie
J1401,Audioprothésiste
K1206,Animateur socioculturel / Animatrice socioculturelle
K1207,Éducateur spécialisé / Éducatrice spécialisée
K1301,Accompagnateur médicosocial / Accompagnatrice médicosociale
J1502,Cadre de santé d'unité de soins ou de service paramédical
J1503,Infirmier / Infirmière anesthésiste (IADE)
J1504,Infirmier / Infirmière de bloc opératoire (IBODE)
J1505,Infirmier / Infirmière de prévention
J1506,Infirmier / Infirmière en soins généraux (IDE)
J1507,Infirmier / Infirmière en puériculture
K1101,Médiateur familial / Médiatrice familiale
K1102,Mandataire judiciaire à la protection des majeurs
K1103,Coach en développement personnel
K1104,Psychologue
K1201,Assistant social / Assistante sociale
K1202,Éducateur / Éducatrice de jeunes enfants
K1203,Éducateur technique spécialisé / Éducatrice technique spécialisée
K1204,Médiateur social / Médiatrice sociale
K1205,Agent / Agente d'accueil social
K1404,Chargé / Chargée de mission développement territorial
K1405,Préfet / Préfète
K1501,Agent / Agente de constatation des douanes
K1502,Inspecteur / Inspectrice du travail
K1503,Contrôleur / Contrôleuse des impôts
K1504,Régisseur / Régisseuse de recettes
K1505,Inspecteur / Inspectrice des douanes
K1403,"Directeur / Directrice de structure de santé, sociale ou pénitentiaire"
K1302,Assistant / Assistante de vie dépendance
K1303,Garde d'enfant à domicile
K1304,Employé familial / Employée familiale de maison
K1401,Cadre Dirigeant / Dirigeante d'administration centrale
K1402,Médecin conseil
J1402,Diététicien / Diététicienne
J1403,Ergothérapeute
J1404,Kinésithérapeute
J1405,Opticien / Opticienne
J1406,Orthophoniste
J1407,Orthoptiste
J1408,Ostéopathe
J1409,Podologue
J1410,Prothésiste dentaire
J1411,Orthoprothésiste
J1412,Psychomotricien / Psychomotricienne
J1501,Aide-soignant / Aide-soignante
J1101,Médecin du travail et de prévention
J1102,Médecin généraliste
J1103,Dentiste
J1104,Homme sage-femme / Sage-femme
J1201,Biologiste médical / Biologiste médicale
J1202,Pharmacien / Pharmacienne
J1301,Agent / Agente de service hospitalier (ASH)
J1302,Technicien / Technicienne de laboratoires d'analyses médicales
L1202,Musicien / Musicienne
L1203,Comédien / Comédienne
L1204,Artiste de cirque
L1301,Metteur / Metteuse en scène
L1302,Producteur / Productrice de film
L1303,Agent / Agente de talent
K1601,Documentaliste
K1602,Conservateur / Conservatrice du patrimoine
K1701,Militaire du rang Combattant / Combattante
K1702,Responsable de sécurité civile et de secours
K1703,Responsable Opérationnel / Opérationnelle de la défense
K1704,Officier / Officière de police
K1705,Secouriste
K1706,Agent / Agente de la force publique
K2302,Directeur / Directrice collecte des déchets
K2303,Ripeur / Ripeuse
K2304,Agent / Agente de tri des déchets
K2105,Professeur / Professeure de musique
K2106,Professeur / Professeure des écoles
K2107,Professeur / Professeure de collège et de lycée
K2108,Professeur / Professeure des universités
K2109,Professeur / Professeure d'enseignement professionnel
K2110,Moniteur / Monitrice d'auto-école
K2111,Formateur / Formatrice
K2112,Conseiller / Conseillère d'orientation
K2201,Blanchisseur industriel / Blanchisseuse industrielle
K2202,Laveur / Laveuse de vitres
K2203,Responsable de site nettoyage de locaux
K2204,Agent / Agente de nettoyage industriel
K2301,Agent / Agente d'assainissement
L1201,Danseur / Danseuse
L1304,Réalisateur / Réalisatrice
L1401,Sportif professionnel / Sportive professionnelle
L1501,Maquilleur / Maquilleuse spectacle
L1502,Costumier / Costumière
L1503,Accessoiriste
L1504,Éclairagiste
K2305,Agent / Agente de désinsectisation
K2306,Responsable de site éco-industriel
K2401,Chercheur / Chercheuse en sciences humaines et sociales
